intervention_layer,input_prediction,output_prediction,relation_prediction
,92.0,0.0,0.0
0.0,92.0,4.0,0.0
1.0,88.0,4.0,0.0
2.0,88.0,4.0,0.0
3.0,92.0,0.0,0.0
4.0,84.0,8.0,0.0
5.0,84.0,8.0,0.0
6.0,72.0,8.0,0.0
7.0,60.0,12.0,4.0
8.0,64.0,8.0,0.0
9.0,60.0,12.0,0.0
10.0,52.0,20.0,0.0
11.0,48.0,24.0,0.0
12.0,32.0,24.0,0.0
13.0,32.0,28.000000000000004,0.0
14.0,56.00000000000001,20.0,0.0
15.0,52.0,24.0,0.0
16.0,76.0,8.0,0.0
17.0,64.0,8.0,0.0
18.0,76.0,4.0,0.0
19.0,84.0,4.0,0.0
20.0,80.0,4.0,0.0
21.0,64.0,8.0,4.0
22.0,64.0,4.0,4.0
23.0,64.0,4.0,4.0
24.0,64.0,0.0,4.0
25.0,68.0,0.0,4.0
26.0,72.0,4.0,8.0
27.0,72.0,4.0,4.0
28.0,80.0,0.0,0.0
29.0,84.0,0.0,4.0
30.0,80.0,4.0,4.0
31.0,80.0,4.0,4.0
