intervention_layer,input_prediction,output_prediction,relation_prediction
,60.0,8.0,0.0
0.0,48.0,12.0,0.0
1.0,48.0,8.0,0.0
2.0,52.0,12.0,0.0
3.0,44.0,12.0,0.0
4.0,48.0,12.0,0.0
5.0,48.0,12.0,0.0
6.0,48.0,12.0,0.0
7.0,48.0,8.0,0.0
8.0,52.0,12.0,0.0
9.0,40.0,24.0,0.0
10.0,40.0,36.0,0.0
11.0,36.0,44.0,0.0
12.0,32.0,52.0,0.0
13.0,16.0,60.0,0.0
14.0,32.0,44.0,0.0
15.0,44.0,32.0,0.0
16.0,40.0,24.0,0.0
17.0,40.0,8.0,0.0
18.0,40.0,12.0,0.0
19.0,48.0,8.0,0.0
20.0,40.0,8.0,0.0
21.0,32.0,4.0,0.0
22.0,40.0,4.0,0.0
23.0,40.0,8.0,0.0
24.0,36.0,4.0,0.0
25.0,36.0,4.0,0.0
26.0,36.0,8.0,0.0
27.0,40.0,8.0,0.0
28.0,40.0,8.0,0.0
29.0,48.0,12.0,0.0
30.0,48.0,12.0,0.0
31.0,44.0,8.0,0.0
