intervention_layer,input_prediction,output_prediction,relation_prediction
,32.0,0.0,16.0
0.0,20.0,0.0,4.0
1.0,28.000000000000004,0.0,72.0
2.0,28.000000000000004,0.0,0.0
3.0,56.00000000000001,4.0,24.0
4.0,32.0,16.0,4.0
5.0,28.000000000000004,20.0,4.0
6.0,24.0,36.0,0.0
7.0,44.0,16.0,0.0
8.0,40.0,12.0,4.0
9.0,28.000000000000004,20.0,4.0
10.0,28.000000000000004,16.0,4.0
11.0,20.0,20.0,0.0
12.0,12.0,24.0,8.0
13.0,12.0,16.0,12.0
14.0,8.0,16.0,12.0
15.0,16.0,12.0,16.0
16.0,28.000000000000004,8.0,12.0
17.0,24.0,4.0,24.0
18.0,20.0,4.0,20.0
19.0,28.000000000000004,0.0,16.0
20.0,32.0,0.0,16.0
21.0,32.0,0.0,16.0
22.0,28.000000000000004,0.0,16.0
23.0,24.0,0.0,20.0
24.0,24.0,0.0,16.0
25.0,24.0,0.0,16.0
26.0,24.0,0.0,16.0
27.0,28.000000000000004,0.0,16.0
