intervention_layer,input_prediction,output_prediction,relation_prediction
,8.0,0.0,0.0
0.0,4.0,16.0,0.0
1.0,24.0,4.0,0.0
2.0,0.0,16.0,0.0
3.0,20.0,84.0,0.0
4.0,96.0,4.0,0.0
5.0,16.0,64.0,0.0
6.0,12.0,92.0,0.0
7.0,12.0,92.0,0.0
8.0,24.0,80.0,0.0
9.0,12.0,92.0,0.0
10.0,16.0,88.0,0.0
11.0,64.0,40.0,0.0
12.0,72.0,20.0,0.0
13.0,8.0,72.0,0.0
14.0,36.0,44.0,0.0
15.0,28.000000000000004,44.0,0.0
16.0,4.0,44.0,0.0
17.0,8.0,16.0,0.0
18.0,24.0,4.0,0.0
19.0,16.0,8.0,0.0
20.0,12.0,4.0,0.0
21.0,8.0,0.0,0.0
22.0,8.0,0.0,0.0
23.0,8.0,0.0,0.0
24.0,12.0,4.0,0.0
25.0,12.0,4.0,0.0
26.0,12.0,4.0,0.0
27.0,8.0,0.0,0.0
